Species,Parity
Tropiocolotes_helenae,0
Cnemaspis_kendallii,0
Cnemaspis_limi,0
Cyrtopodion_russowii,0
Cyrtopodion_spinicaudum,0
Stenodactylus_khobarensis,0
Tropiocolotes_tripolitanus,0
Stenodactylus_arabicus,0
Stenodactylus_petrii,0
Stenodactylus_sthenodactylus,0
Stenodactylus_yemenensis,0
Stenodactylus_doriae,0
Stenodactylus_leptocosymbotus,0
Cyrtopodion_kotschyi,0
Cyrtopodion_sagittiferum,0
Carinatogecko_heteropholis,0
Cyrtopodion_heterocercum,0
Bunopus_tuberculatus,0
Bunopus_crassicauda,0
Crossobamon_orientalis,0
Agamura_persica,0
Cyrtopodion_scabrum,0
Cyrtopodion_sistanensis,0
Cyrtopodion_gastrophole,0
Cyrtopodion_agamuroides,0
Cyrtopodion_caspium,0
Cyrtopodion_longipes,0
Cyrtodactylus_oldhami,0
Cyrtodactylus_ayeyarwadyensis,0
Cyrtodactylus_jarujini,0
Cyrtodactylus_angularis,0
Geckoella_triedrus,0
Cyrtodactylus_marmoratus,0
Cyrtodactylus_consobrinus,0
Cyrtodactylus_irregularis,0
Cyrtodactylus_annulatus,0
Cyrtodactylus_agusanensis,0
Cyrtodactylus_philippinicus,0
Cyrtodactylus_intermedius,0
Cyrtodactylus_pulchellus,0
Cyrtodactylus_tuberculatus,0
Cyrtodactylus_novaeguineae,0
Cyrtodactylus_loriae,0
Cyrtodactylus_sermowaiensis,0
Cyrtodactylus_robustus,0
Cyrtodactylus_klugei,0
Cyrtodactylus_tripartitus,0
Cyrtodactylus_louisiadensis,0
Cyrtodactylus_epiroticus,0
Hemidactylus_bowringii,0
Hemidactylus_garnotii,0
Hemidactylus_platyurus,0
Hemidactylus_karenorum,0
Hemidactylus_fasciatus,0
Hemidactylus_giganteus,0
Hemidactylus_aaronbaueri,0
Hemidactylus_depressus,0
Hemidactylus_triedrus,0
Hemidactylus_maculatus,0
Hemidactylus_prashadi,0
Hemidactylus_flaviviridis,0
Hemidactylus_leschenaultii,0
Hemidactylus_frenatus,0
Hemidactylus_brookii,0
Hemidactylus_sataraensis,0
Teratolepis_fasciata,0
Hemidactylus_albofasciatus,0
Hemidactylus_gracilis,0
Hemidactylus_reticulatus,0
Hemidactylus_haitianus,0
Hemidactylus_angulatus,0
Hemidactylus_mercatorius,0
Hemidactylus_mabouia,0
Hemidactylus_platycephalus,0
Hemidactylus_longicephalus,0
Hemidactylus_brasilianus,0
Hemidactylus_greefii,0
Hemidactylus_bouvieri,0
Hemidactylus_agrius,0
Hemidactylus_palaichthus,0
Hemidactylus_modestus,0
Hemidactylus_foudaii,0
Hemidactylus_citernii,0
Hemidactylus_pumilio,0
Hemidactylus_granti,0
Hemidactylus_dracaenacolus,0
Hemidactylus_persicus,0
Hemidactylus_robustus,0
Hemidactylus_yerburyi,0
Hemidactylus_turcicus,0
Hemidactylus_mindiae,0
Hemidactylus_lemurinus,0
Hemidactylus_macropholis,0
Hemidactylus_oxyrhinus,0
Hemidactylus_homoeolepis,0
Hemidactylus_forbesii,0
Perochirus_ateles,0
Urocotyledon_inexpectata,0
Ebenavia_inunguis,0
Paroedura_masobe,0
Paroedura_gracilis,0
Paroedura_homalorhina,0
Paroedura_karstophila,0
Paroedura_oviceps,0
Paroedura_lohatsara,0
Paroedura_sanctijohannis,0
Paroedura_stumpffi,0
Paroedura_androyensis,0
Paroedura_picta,0
Paroedura_vazimba,0
Paroedura_bastardi,0
Paroedura_tanjaka,0
Ailuronyx_tachyscopaeus,0
Ailuronyx_trachygaster,0
Ailuronyx_seychellensis,0
Calodactylodes_aureus,0
Calodactylodes_illingworthorum,0
Narudasia_festiva,0
Ptenopus_carpi,0
Cnemaspis_uzungwae,0
Cnemaspis_africana,0
Cnemaspis_dickersoni,0
Uroplatus_malahelo,0
Uroplatus_guentheri,0
Uroplatus_malama,0
Uroplatus_phantasticus,0
Uroplatus_ebenaui,0
Uroplatus_pietschmanni,0
Uroplatus_alluaudi,0
Uroplatus_lineatus,0
Uroplatus_fimbriatus,0
Uroplatus_giganteus,0
Uroplatus_henkeli,0
Uroplatus_sikorae,0
Paragehyra_gabriellae,0
Matoatoa_brevipes,0
Afroedura_pondolia,0
Afrogecko_porphyreus,0
Christinus_marmoratus,0
Cryptactites_peringueyi,0
Afrogecko_swartbergensis,0
Afroedura_karroica,0
Geckolepis_maculata,0
Geckolepis_typica,0
Blaesodactylus_boivini,0
Blaesodactylus_sakalava,0
Blaesodactylus_antongilensis,0
Homopholis_fasciata,0
Homopholis_mulleri,0
Homopholis_walbergii,0
Goggia_lineata,0
Rhoptropus_bradfieldi,0
Rhoptropus_afer,0
Rhoptropus_boultoni,0
Rhoptropus_barnardi,0
Rhoptropus_biporosus,0
Elasmodactylus_tuberculosus,0
Elasmodactylus_tetensis,0
Chondrodactylus_angulifer,0
Chondrodactylus_bibronii,0
Chondrodactylus_fitzsimonsi,0
Chondrodactylus_turneri,0
Pachydactylus_laevigatus,0
Pachydactylus_robertsi,0
Colopus_kochii,0
Colopus_wahlbergii,0
Pachydactylus_haackei,0
Pachydactylus_namaquensis,0
Pachydactylus_kladaroderma,0
Pachydactylus_caraculicus,0
Pachydactylus_bicolor,0
Pachydactylus_sansteynae,0
Pachydactylus_punctatus,0
Pachydactylus_scherzi,0
Pachydactylus_parascutatus,0
Pachydactylus_scutatus,0
Pachydactylus_reconditus,0
Pachydactylus_oreophilus,0
Pachydactylus_gaiasensis,0
